Stream Trained,Job Role,Placement Number,Placement: Resource: Full Name,Operating Location Name,FDM Office,Start Date,End Date,Degree Classification,University of Study,Degree Subject
Application Support,Support,1128,First Name Surname 1128,Leeds Centre,London,19/10/2015,18/10/2016,2:2,London School of Economics and Politics,English
Development (Java),Consulting,1126,First Name Surname 1126,Moorgate,London,19/10/2015,18/10/2016,2:2,Newcastle University ,Classics and Ancient History
Development (Java),Consulting,1177,First Name Surname 1177,Edinburgh,Leeds,19/10/2015,18/10/2016,2:2,Glasgow Caledonian University,Geography and Environmental Sciences
Development (Java),Consulting,1178,First Name Surname 1178,Edinburgh,Leeds,19/10/2015,18/10/2016,2:1,Coventry University,Computer Science
PMO,PMO,1116,First Name Surname 1116,Leeds Centre,London,20/10/2015,18/12/2015,1,Open University,Physics and Astronomy
PMO,Business Analysis,1185,First Name Surname 1185,Edinburgh,London,20/10/2015,31/03/2016,3,University College London,Civil Engineering
PMO,PMO,1186,First Name Surname 1186,Leeds Centre,London,20/10/2015,20/04/2016,2:2,London School of Economics and Politics,Computer Science
Development (Java),Consulting,1155,First Name Surname 1155,Oxford Circus,London,22/10/2015,21/04/2016,2:2,University of Brighton,Aeronautical Engineering
,Business Analysis,1202,First Name Surname 1202,Newcastle,London,26/10/2015,25/03/2016,2:2,Open University,Civil Engineering
Development (Java),Consulting,1154,First Name Surname 1154,Moorgate,Leeds,26/10/2015,31/03/2016,2:2,Glasgow Caledonian University,Economics
PMO,PMO,1201,First Name Surname 1201,Edinburgh,Leeds,26/10/2015,22/04/2016,2:1,University of York,Business and Management Studies
MX.3 Support,Support,1156,First Name Surname 1156,Leeds Centre,London,26/10/2015,25/04/2016,2:2,University of Salford,Economics
Development (Java),Consulting,1163,First Name Surname 1163,Leeds Centre,London,26/10/2015,25/04/2016,2:1,Open University,Physics and Astronomy
Technical,PMO,1190,First Name Surname 1190,Birmingham New Street,Glasgow,26/10/2015,26/04/2016,3,University of Nottingham,Accounting and Finance
PMO,PMO,1141,First Name Surname 1141,Newcastle,London,27/10/2015,28/02/2016,2:1,Bangor University,Mechanical Engineering
PMO,PMO,1188,First Name Surname 1188,Birmingham New Street,Ireland,27/10/2015,29/04/2016,2:1,Newcastle University ,Forensic Computing
Business Analysis,Business Analysis,1169,First Name Surname 1169,Leeds Centre,Ireland,27/10/2015,29/04/2016,2:2,London School of Economics and Politics,Mathematics
Business Analysis,Business Analysis,1170,First Name Surname 1170,Leeds Centre,Ireland,27/10/2015,29/04/2016,2:1,University of Huddersfield,Chemical Engineering
Development (Java),Business Intelligence,1157,First Name Surname 1157,Leeds Centre,London,27/10/2015,18/10/2016,2:2,Swansea University,Law
Data Scientist,Data Services,1199,First Name Surname 1199,Edinburgh,Leeds,28/10/2015,23/10/2016,2:1,University of Sheffield,Computer Science
Development (Java),Testing,1106,First Name Surname 1106,Birmingham New Street,Glasgow,29/10/2015,15/01/2016,3,University of Huddersfield,Geography and Environmental Sciences
Development (Java),Consulting,1214,First Name Surname 1214,Birmingham New Street,London,01/11/2015,31/12/2015,2:2,Nottingham Trent University,Classics and Ancient History
Development (Java),Consulting,1215,First Name Surname 1215,Birmingham New Street,London,01/11/2015,31/12/2015,2:2,University of York,Chemistry
Development (Java),Consulting,1216,First Name Surname 1216,Birmingham New Street,London,01/11/2015,31/12/2015,2:2,De Montfort University,Mathematics
Testing,Testing,1189,First Name Surname 1189,Birmingham New Street,London,02/11/2015,31/12/2015,2:1,Swansea University,Biological Sciences
PMO,PMO,1200,First Name Surname 1200,Moorgate,London,02/11/2015,31/12/2015,2:1,De Montfort University,Accounting and Finance
Testing,Testing,1172,First Name Surname 1172,Birmingham New Street,Leeds,02/11/2015,29/01/2016,2:2,University of Huddersfield,Electrical and Electronic Engineering
Testing,Testing,1173,First Name Surname 1173,Birmingham New Street,Leeds,02/11/2015,29/01/2016,3,University of Glasgow,Mechanical Engineering
Testing (Business),Testing,1174,First Name Surname 1174,Birmingham New Street,Leeds,02/11/2015,29/01/2016,2:2,University of St Andrews,English
Data Analyst,Data Services,1210,First Name Surname 1210,Edinburgh,Leeds,02/11/2015,26/05/2016,2:2,University of York,Politics
Application Support,Support,1135,First Name Surname 1135,Leeds Centre,London,02/11/2015,25/10/2016,2:1,De Montfort University,Politics
PMO,PMO,1182,First Name Surname 1182,Edinburgh,Leeds,02/11/2015,23/12/2016,2:2,University of East Anglia,Biological Sciences
,Business Analysis,1203,First Name Surname 1203,Newcastle,London,03/11/2015,31/03/2016,1,Open University,Civil Engineering
Testing,Testing,1219,First Name Surname 1219,Moorgate,London,05/11/2015,04/04/2016,2:1,University of Leicester,Mechanical Engineering
Application Support,Support,1221,First Name Surname 1221,Leeds Centre,London,09/11/2015,04/12/2015,3,London School of Economics and Politics,Classics and Ancient History
Testing,Testing,1223,First Name Surname 1223,Birmingham New Street,London,09/11/2015,18/12/2015,2:1,University of York,Economics
Development (Java),Consulting,1224,First Name Surname 1224,Birmingham New Street,London,09/11/2015,31/12/2015,2:2,University of Leeds,Biological Sciences
Testing,Testing,1168,First Name Surname 1168,Moorgate,London,09/11/2015,15/01/2016,2:1,Newcastle University ,Biological Sciences
Testing,Testing,1207,First Name Surname 1207,Birmingham New Street,London,09/11/2015,05/02/2016,2:1,University of Liverpool,Business and Management Studies
Testing,Testing,1137,First Name Surname 1137,Birmingham New Street,Leeds,09/11/2015,05/02/2016,1,University of Nottingham,Accounting and Finance
Testing (Business),Testing,1159,First Name Surname 1159,Birmingham New Street,Leeds,09/11/2015,05/02/2016,2:1,University of Warwick,Economics
Testing (Business),Testing,1160,First Name Surname 1160,Birmingham New Street,Leeds,09/11/2015,05/02/2016,2:2,University of Huddersfield,History
Testing (Business),Testing,1161,First Name Surname 1161,Birmingham New Street,Leeds,09/11/2015,05/02/2016,2:1,University of Brighton,Psychology
Data Analyst,PMO,1209,First Name Surname 1209,Newcastle,London,09/11/2015,08/02/2016,3,University of Manchester,Computer Science
Testing,Testing,1208,First Name Surname 1208,Leeds Centre,London,09/11/2015,18/03/2016,3,Bangor University,Accounting and Finance
Development (.Net),Consulting,1179,First Name Surname 1179,Moorgate,London,09/11/2015,08/04/2016,2:2,Glasgow Caledonian University,Marketing
Development (Java),Consulting,1180,First Name Surname 1180,Moorgate,London,09/11/2015,08/04/2016,2:1,University of Warwick,Civil Engineering
PMO,PMO,1164,First Name Surname 1164,Newcastle,London,09/11/2015,18/04/2016,2:1,University of Huddersfield,History
Testing,Testing,1213,First Name Surname 1213,Edinburgh,Leeds,09/11/2015,06/05/2016,2:2,University of Glasgow,Business and Management Studies
Development (Java),Consulting,1191,First Name Surname 1191,Leeds Centre,London,09/11/2015,31/07/2016,1,Manchester Metropolitan University,Forensic Computing
Development (Java),Consulting,1192,First Name Surname 1192,Leeds Centre,London,09/11/2015,31/07/2016,2:1,Cardiff University,Geography and Environmental Sciences
Development (.Net),Consulting,1211,First Name Surname 1211,Leeds Centre,London,09/11/2015,31/07/2016,1,University of Liverpool,Aeronautical Engineering
PMO,Data Services,1196,First Name Surname 1196,Newcastle,London,09/11/2015,04/11/2016,2:2,Cardiff University,Economics
Testing,Testing,1220,First Name Surname 1220,Birmingham New Street,London,10/11/2015,06/05/2016,2:1,University of York,Accounting and Finance
Development (Java),Testing,1218,First Name Surname 1218,Birmingham New Street,London,10/11/2015,13/05/2016,2:1,Glasgow Caledonian University,History
Development (.Net),Business Analysis,1222,First Name Surname 1222,Newcastle,London,11/11/2015,11/05/2016,2:1,University of Abertay,Electrical and Electronic Engineering
MX.3 Support,Murex,1166,First Name Surname 1166,Newcastle,London,13/11/2015,12/11/2016,2:2,London Metropolitan University,History
Testing,Testing,1175,First Name Surname 1175,Birmingham New Street,Leeds,16/11/2015,12/02/2016,1,University of Leicester,Forensic Computing
Testing,Testing,1176,First Name Surname 1176,Birmingham New Street,Leeds,16/11/2015,12/02/2016,3,De Montfort University,Business and Management Studies
Testing,Testing,1197,First Name Surname 1197,Edinburgh,Leeds,16/11/2015,12/02/2016,1,Nottingham Trent University,Physics and Astronomy
Testing,Testing,1198,First Name Surname 1198,Edinburgh,Leeds,16/11/2015,12/02/2016,2:1,University of Central Lancashire,Economics
Testing,Testing,1204,First Name Surname 1204,Birmingham New Street,Leeds,16/11/2015,19/02/2016,2:2,University of Chester,Marketing
Testing (Business),Testing,1205,First Name Surname 1205,Birmingham New Street,Leeds,16/11/2015,19/02/2016,2:1,London Metropolitan University,Civil Engineering
Testing,Testing,1206,First Name Surname 1206,Birmingham New Street,Leeds,16/11/2015,19/02/2016,2:1,London School of Economics and Politics,Accounting and Finance
Business Analysis,Data Services,1225,First Name Surname 1225,Edinburgh,London,16/11/2015,16/03/2016,2:2,Nottingham Trent University,Chemistry
Testing,PMO,1187,First Name Surname 1187,Birmingham New Street,Ireland,16/11/2015,13/05/2016,2:1,Newcastle University ,Physics and Astronomy
PMO,PMO,1227,First Name Surname 1227,Leeds Centre,London,16/11/2015,13/05/2016,2:1,University of Essex,Games Design
PMO,PMO,1228,First Name Surname 1228,Birmingham New Street,Glasgow,16/11/2015,15/05/2016,2:2,Swansea University,Physics and Astronomy
PMO,Business Analysis,1194,First Name Surname 1194,Birmingham New Street,Glasgow,16/11/2015,16/05/2016,2:1,University of Leicester,Computer Science
PMO,Business Analysis,1195,First Name Surname 1195,Birmingham New Street,Glasgow,16/11/2015,16/05/2016,1,Glasgow Caledonian University,Chemistry
Testing,Testing,1226,First Name Surname 1226,Birmingham New Street,London,16/11/2015,16/05/2016,2:2,Cardiff University,Forensic Computing
Application Support,Support,1193,First Name Surname 1193,Leeds Centre,London,16/11/2015,01/06/2016,2:2,University of Nottingham,History
Development (Java),Consulting,1212,First Name Surname 1212,Leeds Centre,London,16/11/2015,31/07/2016,2:2,Manchester Metropolitan University,Mechanical Engineering
Development (Java),Business Intelligence,1217,First Name Surname 1217,Leeds Centre,London,16/11/2015,18/10/2016,2:2,De Montfort University,Mechanical Engineering
Development (Java),Data Services,1181,First Name Surname 1181,Leeds Centre,London,19/11/2015,31/03/2016,3,University of Liverpool,Mechanical Engineering
Infrastructure,Support,1242,First Name Surname 1242,Oxford Circus,Manchester,22/02/2012,22/02/2014,2:1,Nottingham Trent University,Computer Science
Development (Java),Business Analysis,1243,First Name Surname 1243,Leeds Centre,Manchester,18/04/2013,18/04/2015,2:1,University of East Anglia,Business and Management Studies
PMO,Business Analysis,1244,First Name Surname 1244,Newcastle,London,26/05/2012,26/05/2014,2:1,London Metropolitan University,Chemical Engineering
PMO,Consulting,1245,First Name Surname 1245,Edinburgh,London,17/08/2013,17/08/2015,2:2,London School of Economics and Politics,Accounting and Finance
Data Analyst,Cyber Security,1246,First Name Surname 1246,Leeds Centre,Manchester,06/01/2013,06/01/2015,1,University of Portsmouth,Business and Management Studies
Business Analysis,PMO,1247,First Name Surname 1247,Oxford Circus,Manchester,10/07/2013,10/07/2015,2:1,University of Chester,Accounting and Finance
Application Support,PMO,1248,First Name Surname 1248,Birmingham New Street,London,19/02/2013,19/02/2015,3,University of Central Lancashire,Mathematics
Infrastructure,Testing,1249,First Name Surname 1249,Birmingham New Street,London,06/02/2012,06/02/2014,2:1,Nottingham Trent University,Classics and Ancient History
Testing,PMO,1250,First Name Surname 1250,Newcastle,Manchester,28/06/2012,28/06/2014,2:1,Swansea University,Physics and Astronomy
Development (.Net),Cyber Security,1251,First Name Surname 1251,Moorgate,Manchester,10/11/2013,10/11/2015,2:1,Nottingham Trent University,Biological Sciences
Testing,Business Analysis,1252,First Name Surname 1252,Edinburgh,London,26/06/2013,26/06/2015,2:1,University of St Andrews,Electrical and Electronic Engineering
Business Analysis,PMO,1253,First Name Surname 1253,Oxford Circus,London,01/02/2013,01/02/2015,2:1,Cardiff University,English
PMO,Testing,1254,First Name Surname 1254,Birmingham New Street,Manchester,31/10/2012,31/10/2014,2:2,University of Leicester,Forensic Computing
Infrastructure,Business Intelligence,1255,First Name Surname 1255,Oxford Circus,Manchester,21/03/2012,21/03/2014,2:2,University of Glasgow,Aeronautical Engineering
Infrastructure,PMO,1256,First Name Surname 1256,Moorgate,London,24/07/2013,24/07/2015,2:1,University of Glasgow,Physics and Astronomy
Development (.Net),PMO,1257,First Name Surname 1257,Edinburgh,Manchester,13/07/2013,13/07/2015,2:2,University of Leeds,History
Testing,Testing,1258,First Name Surname 1258,Moorgate,Manchester,07/08/2013,07/08/2015,2:2,Coventry University,Politics
Application Support,PMO,1259,First Name Surname 1259,Edinburgh,Manchester,16/07/2012,16/07/2014,2:2,Bangor University,Computer Science
Testing,Support,1260,First Name Surname 1260,Oxford Circus,London,26/03/2013,26/03/2015,3,Swansea University,Chemistry
Testing,Consulting,1261,First Name Surname 1261,Birmingham New Street,Manchester,13/09/2013,13/09/2015,2:2,Manchester Metropolitan University,Physics and Astronomy
Application Support,Consulting,1262,First Name Surname 1262,Newcastle,Manchester,09/12/2012,09/12/2014,2:1,University of Reading,Civil Engineering
Business Analysis,Data Services,1263,First Name Surname 1263,Newcastle,London,22/12/2011,22/12/2013,2:2,University of Central Lancashire,Forensic Computing
Application Support,Cyber Security,1264,First Name Surname 1264,Moorgate,London,19/11/2013,19/11/2015,2:1,University of Warwick,Forensic Computing
Data Analyst,Infrastructure,1265,First Name Surname 1265,Birmingham New Street,London,22/06/2013,22/06/2015,2:2,University of Nottingham,Accounting and Finance
Infrastructure,Consulting,1266,First Name Surname 1266,Moorgate,Manchester,20/01/2012,20/01/2014,2:2,University of Warwick,Economics
Development (.Net),Consulting,1267,First Name Surname 1267,Birmingham New Street,Manchester,29/05/2013,29/05/2015,2:2,Manchester Metropolitan University,Accounting and Finance
Business Analysis,Business Intelligence,1268,First Name Surname 1268,Moorgate,London,04/11/2013,04/11/2015,2:1,University of Portsmouth,Mathematics
Data Analyst,Consulting,1269,First Name Surname 1269,Moorgate,London,21/06/2012,21/06/2014,2:1,University of Salford,Forensic Computing
Business Analysis,Business Intelligence,1270,First Name Surname 1270,Leeds Centre,Manchester,29/08/2013,29/08/2015,2:2,Newcastle University ,Civil Engineering
PMO,Testing,1271,First Name Surname 1271,Newcastle,London,29/08/2013,29/08/2015,2:1,De Montfort University,Law
Application Support,Infrastructure,1272,First Name Surname 1272,Newcastle,Manchester,11/11/2012,11/11/2014,3,University of Leeds,Psychology
Application Support,Cyber Security,1273,First Name Surname 1273,Newcastle,London,12/08/2012,12/08/2014,2:1,University College London,Aeronautical Engineering
Infrastructure,Data Services,1274,First Name Surname 1274,Edinburgh,Manchester,11/01/2013,11/01/2015,3,University of East Anglia,Mathematics
Development (.Net),Business Analysis,1275,First Name Surname 1275,Edinburgh,London,27/02/2013,27/02/2015,2:2,University of Portsmouth,Civil Engineering
Data Analyst,Testing,1276,First Name Surname 1276,Leeds Centre,Manchester,30/03/2012,30/03/2014,3,University of Chester,Accounting and Finance
Development (.Net),Infrastructure,1277,First Name Surname 1277,Newcastle,London,03/08/2013,03/08/2015,1,University of Warwick,Computer Science
Development (.Net),Business Analysis,1278,First Name Surname 1278,Edinburgh,London,25/09/2013,25/09/2015,2:1,University of Huddersfield,Robotics
Infrastructure,Infrastructure,1279,First Name Surname 1279,Leeds Centre,Manchester,18/04/2013,18/04/2015,2:2,Cardiff University,Economics
Infrastructure,PMO,1280,First Name Surname 1280,Moorgate,London,24/06/2012,24/06/2014,2:1,University of Central Lancashire,Mathematics
Development (Java),Business Intelligence,1281,First Name Surname 1281,Leeds Centre,Manchester,30/05/2013,30/05/2015,1,Loughbourgh University,Electrical and Electronic Engineering
Application Support,Cyber Security,1282,First Name Surname 1282,Newcastle,Manchester,17/12/2013,17/12/2015,2:1,University of St Andrews,Marketing
Development (Java),Data Services,1283,First Name Surname 1283,Oxford Circus,London,02/12/2013,02/12/2015,2:1,London School of Economics and Politics,Geography and Environmental Sciences
Infrastructure,Business Intelligence,1284,First Name Surname 1284,Birmingham New Street,Manchester,01/01/2013,01/01/2015,2:2,University of Glasgow,English
Business Analysis,Support,1285,First Name Surname 1285,Oxford Circus,Manchester,27/08/2013,27/08/2015,2:1,University of Huddersfield,Business and Management Studies
Development (Java),Business Analysis,1286,First Name Surname 1286,Oxford Circus,Manchester,13/08/2013,13/08/2015,3,University of Nottingham,Politics
Business Analysis,Cyber Security,1287,First Name Surname 1287,Newcastle,London,12/05/2013,12/05/2015,2:1,De Montfort University,Geography and Environmental Sciences
Development (.Net),Support,1288,First Name Surname 1288,Oxford Circus,Manchester,09/07/2013,09/07/2015,2:2,University of Nottingham,Business and Management Studies
Development (Java),PMO,1289,First Name Surname 1289,Leeds Centre,Manchester,05/04/2012,05/04/2014,2:1,Glasgow Caledonian University,Civil Engineering
PMO,Consulting,1290,First Name Surname 1290,Edinburgh,Manchester,01/01/2012,01/01/2014,2:1,University of Essex,Economics
PMO,Infrastructure,1291,First Name Surname 1291,Edinburgh,London,04/12/2012,04/12/2014,2:1,London School of Economics and Politics,Economics
Application Support,Cyber Security,1292,First Name Surname 1292,Edinburgh,Manchester,16/12/2013,16/12/2015,2:1,University of Central Lancashire,Politics
Business Analysis,Consulting,1293,First Name Surname 1293,Oxford Circus,Manchester,16/04/2013,16/04/2015,2:2,University of Warwick,English
Development (.Net),Business Analysis,1294,First Name Surname 1294,Moorgate,Manchester,10/09/2013,10/09/2015,2:2,De Montfort University,Computer Science
PMO,Cyber Security,1295,First Name Surname 1295,Birmingham New Street,London,21/06/2012,21/06/2014,2:2,Manchester Metropolitan University,Accounting and Finance
Data Analyst,PMO,1296,First Name Surname 1296,Moorgate,London,07/06/2012,07/06/2014,2:1,Cardiff University,Politics
Development (Java),Business Intelligence,1297,First Name Surname 1297,Oxford Circus,Manchester,05/12/2013,05/12/2015,1,University of Salford,Physics and Astronomy
PMO,Data Services,1298,First Name Surname 1298,Oxford Circus,London,29/10/2013,29/10/2015,1,Coventry University,Chemical Engineering
Development (.Net),Cyber Security,1299,First Name Surname 1299,Newcastle,London,11/11/2013,11/11/2015,3,University of East Anglia,Mechanical Engineering
Development (Java),Cyber Security,1300,First Name Surname 1300,Moorgate,Manchester,26/04/2012,26/04/2014,2:1,University of Brighton,Robotics
Data Analyst,Cyber Security,1301,First Name Surname 1301,Newcastle,London,27/09/2012,27/09/2014,1,University of Glasgow,Forensic Computing
PMO,PMO,1302,First Name Surname 1302,Oxford Circus,London,21/08/2012,21/08/2014,1,University of Huddersfield,Electrical and Electronic Engineering
Application Support,Support,1303,First Name Surname 1303,Oxford Circus,Manchester,04/04/2013,04/04/2015,2:1,University of Glasgow,Business and Management Studies
Development (Java),Cyber Security,1304,First Name Surname 1304,Edinburgh,London,12/09/2013,12/09/2015,2:1,Open University,Chemistry
Infrastructure,Infrastructure,1305,First Name Surname 1305,Newcastle,Manchester,06/01/2013,06/01/2015,2:2,Nottingham Trent University,Mechanical Engineering
Data Analyst,Data Services,1306,First Name Surname 1306,Birmingham New Street,Manchester,28/07/2013,28/07/2015,2:2,University of Abertay,Computer Science
Testing,Consulting,1307,First Name Surname 1307,Leeds Centre,Manchester,24/10/2013,24/10/2015,2:1,University of Liverpool,Accounting and Finance
Infrastructure,Testing,1308,First Name Surname 1308,Leeds Centre,London,28/02/2012,28/02/2014,2:2,University of Nottingham,English
Application Support,Testing,1309,First Name Surname 1309,Moorgate,London,18/08/2012,18/08/2014,2:2,University of Salford,Business and Management Studies
PMO,Support,1310,First Name Surname 1310,Newcastle,London,04/10/2012,04/10/2014,2:1,Manchester Metropolitan University,Electrical and Electronic Engineering
Business Analysis,Business Analysis,1311,First Name Surname 1311,Oxford Circus,London,08/11/2013,08/11/2015,2:2,University of Central Lancashire,Economics
Business Analysis,Cyber Security,1312,First Name Surname 1312,Birmingham New Street,London,02/11/2013,02/11/2015,1,University of Abertay,Politics
Development (Java),Data Services,1313,First Name Surname 1313,Leeds Centre,London,30/06/2013,30/06/2015,2:2,University of Liverpool,Computer Science
Application Support,PMO,1314,First Name Surname 1314,Moorgate,London,12/09/2013,12/09/2015,2:2,University of St Andrews,Business and Management Studies
Development (.Net),Support,1315,First Name Surname 1315,Edinburgh,Manchester,28/03/2013,28/03/2015,2:2,University of Leeds,Civil Engineering
Application Support,Support,1316,First Name Surname 1316,Birmingham New Street,London,17/04/2012,17/04/2014,3,Bangor University,Mechanical Engineering
Testing,Business Intelligence,1317,First Name Surname 1317,Moorgate,Manchester,15/06/2013,15/06/2015,2:2,Bangor University,Marketing
Development (Java),PMO,1318,First Name Surname 1318,Newcastle,Manchester,04/08/2012,04/08/2014,2:1,University of Chester,Civil Engineering
PMO,Infrastructure,1319,First Name Surname 1319,Newcastle,London,09/05/2013,09/05/2015,2:2,University of Reading,Accounting and Finance
Application Support,PMO,1320,First Name Surname 1320,Birmingham New Street,Manchester,02/07/2013,02/07/2015,2:1,University of Liverpool,Mechanical Engineering
Testing,Support,1321,First Name Surname 1321,Oxford Circus,London,15/12/2011,15/12/2013,2:2,University of Brighton,Mechanical Engineering
Development (Java),Cyber Security,1322,First Name Surname 1322,Newcastle,Manchester,05/01/2013,05/01/2015,1,University of Portsmouth,Business and Management Studies
Business Analysis,Business Analysis,1323,First Name Surname 1323,Moorgate,Manchester,28/11/2011,28/11/2013,2:1,University of Chester,English
Application Support,PMO,1324,First Name Surname 1324,Edinburgh,Manchester,05/03/2013,05/03/2015,2:1,De Montfort University,Aeronautical Engineering
Development (.Net),PMO,1325,First Name Surname 1325,Oxford Circus,Manchester,02/09/2013,02/09/2015,1,Nottingham Trent University,Robotics
Infrastructure,PMO,1326,First Name Surname 1326,Birmingham New Street,London,18/09/2012,18/09/2014,2:2,University of Sheffield,Forensic Computing
Development (.Net),Support,1327,First Name Surname 1327,Edinburgh,Manchester,31/08/2013,31/08/2015,2:2,University of York,Economics
Infrastructure,PMO,1328,First Name Surname 1328,Birmingham New Street,Manchester,08/01/2013,08/01/2015,2:1,University of Huddersfield,Mathematics
Data Analyst,Consulting,1329,First Name Surname 1329,Edinburgh,London,22/08/2013,22/08/2015,2:2,University of Reading,Chemistry
Infrastructure,Cyber Security,1330,First Name Surname 1330,Edinburgh,Manchester,30/07/2013,30/07/2015,3,University of Sheffield,Robotics
Development (Java),Business Analysis,1331,First Name Surname 1331,Birmingham New Street,London,30/07/2013,30/07/2015,2:2,University of Salford,Accounting and Finance
Testing,Cyber Security,1332,First Name Surname 1332,Moorgate,Manchester,19/12/2012,19/12/2014,3,London Metropolitan University,Business and Management Studies
Business Analysis,Cyber Security,1333,First Name Surname 1333,Birmingham New Street,Manchester,03/11/2013,03/11/2015,3,University College London,Accounting and Finance
Infrastructure,Data Services,1334,First Name Surname 1334,Oxford Circus,London,10/07/2013,10/07/2015,3,University of Sheffield,Economics
PMO,Testing,1335,First Name Surname 1335,Leeds Centre,Manchester,24/08/2013,24/08/2015,2:2,University of Essex,Mathematics
Development (Java),Consulting,1336,First Name Surname 1336,Moorgate,Manchester,21/10/2012,21/10/2014,2:1,Open University,Chemistry
PMO,Consulting,1337,First Name Surname 1337,Leeds Centre,Manchester,12/02/2012,12/02/2014,2:2,Glasgow Caledonian University,Geography and Environmental Sciences
Development (.Net),PMO,1338,First Name Surname 1338,Birmingham New Street,Manchester,09/01/2012,09/01/2014,2:1,Loughbourgh University,English
Development (.Net),Data Services,1339,First Name Surname 1339,Oxford Circus,London,22/09/2013,22/09/2015,2:2,University of Leeds,Business and Management Studies
Data Analyst,Business Intelligence,1340,First Name Surname 1340,Leeds Centre,London,24/02/2012,24/02/2014,2:1,University of Leicester,Business and Management Studies
Data Analyst,Business Analysis,1341,First Name Surname 1341,Newcastle,London,22/08/2012,22/08/2014,2:2,Glasgow Caledonian University,Politics
PMO,Data Services,1342,First Name Surname 1342,Leeds Centre,London,10/08/2013,10/08/2015,2:2,Bangor University,Electrical and Electronic Engineering
Application Support,Infrastructure,1343,First Name Surname 1343,Newcastle,Manchester,03/09/2013,03/09/2015,2:1,University of Manchester,History
Business Analysis,PMO,1344,First Name Surname 1344,Edinburgh,Manchester,15/06/2013,15/06/2015,2:1,University of Reading,History
Infrastructure,Data Services,1345,First Name Surname 1345,Edinburgh,Manchester,03/09/2012,03/09/2014,2:1,University of Portsmouth,Civil Engineering
Testing,Support,1346,First Name Surname 1346,Edinburgh,London,17/06/2013,17/06/2015,2:2,Cardiff University,Aeronautical Engineering
Development (.Net),Support,1347,First Name Surname 1347,Moorgate,Manchester,07/05/2013,07/05/2015,2:2,University of Chester,Chemical Engineering
Data Analyst,Business Intelligence,1348,First Name Surname 1348,Birmingham New Street,Manchester,20/10/2013,20/10/2015,2:1,Coventry University,Civil Engineering
PMO,Support,1349,First Name Surname 1349,Edinburgh,London,15/11/2011,15/11/2013,2:2,Swansea University,Economics
Development (.Net),Infrastructure,1350,First Name Surname 1350,Edinburgh,London,03/07/2013,03/07/2015,2:1,London Metropolitan University,Civil Engineering
Development (.Net),Consulting,1351,First Name Surname 1351,Edinburgh,London,25/02/2012,25/02/2014,3,University of Salford,Physics and Astronomy
Development (.Net),Business Analysis,1352,First Name Surname 1352,Newcastle,Manchester,03/07/2013,03/07/2015,3,University of Nottingham,Chemical Engineering
Business Analysis,Business Intelligence,1353,First Name Surname 1353,Birmingham New Street,London,24/03/2013,24/03/2015,2:1,University of Warwick,Mathematics
Development (Java),Infrastructure,1354,First Name Surname 1354,Edinburgh,London,06/08/2013,06/08/2015,2:1,University of Glasgow,Accounting and Finance
Data Analyst,Infrastructure,1355,First Name Surname 1355,Birmingham New Street,Manchester,29/08/2012,29/08/2014,1,Newcastle University ,Economics
Testing,PMO,1356,First Name Surname 1356,Oxford Circus,Manchester,13/12/2013,13/12/2015,2:1,University of Brighton,History
Data Analyst,Business Intelligence,1357,First Name Surname 1357,Birmingham New Street,London,22/04/2013,22/04/2015,2:2,University of Liverpool,Business and Management Studies
Application Support,Support,1358,First Name Surname 1358,Oxford Circus,London,04/08/2013,04/08/2015,1,University of Reading,Computer Science
Development (.Net),Consulting,1359,First Name Surname 1359,Moorgate,London,17/11/2013,17/11/2015,2:1,University of Portsmouth,Biological Sciences
Data Analyst,Testing,1360,First Name Surname 1360,Edinburgh,London,18/06/2013,18/06/2015,1,London Metropolitan University,Chemistry
Testing,Business Analysis,1361,First Name Surname 1361,Leeds Centre,London,05/03/2012,05/03/2014,2:2,University of Huddersfield,Geography and Environmental Sciences
Business Analysis,Business Analysis,1362,First Name Surname 1362,Birmingham New Street,Manchester,08/05/2013,08/05/2015,3,University of Liverpool,Forensic Computing
Testing,Testing,1363,First Name Surname 1363,Moorgate,Manchester,28/12/2011,28/12/2013,2:2,University of St Andrews,History
Development (.Net),Business Intelligence,1364,First Name Surname 1364,Moorgate,London,06/06/2013,06/06/2015,2:2,University of Sheffield,Chemistry
Development (Java),Testing,1365,First Name Surname 1365,Birmingham New Street,London,03/12/2011,03/12/2013,2:2,University of Glasgow,Economics
Business Analysis,Business Intelligence,1366,First Name Surname 1366,Oxford Circus,London,04/07/2012,04/07/2014,2:1,University of Portsmouth,Mathematics
Data Analyst,Business Analysis,1367,First Name Surname 1367,Oxford Circus,Manchester,16/04/2013,16/04/2015,2:1,University of Nottingham,Marketing
Application Support,Consulting,1368,First Name Surname 1368,Leeds Centre,London,16/09/2013,16/09/2015,2:1,University of Liverpool,Marketing
PMO,Consulting,1369,First Name Surname 1369,Moorgate,London,12/10/2012,12/10/2014,2:1,Coventry University,Electrical and Electronic Engineering
Development (Java),Data Services,1370,First Name Surname 1370,Edinburgh,Manchester,28/01/2013,28/01/2015,2:2,Manchester Metropolitan University,English
Development (Java),PMO,1371,First Name Surname 1371,Moorgate,London,05/10/2012,05/10/2014,2:1,University of Manchester,Geography and Environmental Sciences
PMO,Consulting,1372,First Name Surname 1372,Newcastle,Manchester,17/03/2012,17/03/2014,2:2,Manchester Metropolitan University,Economics
